ACS Catalysis
ACS Chem Neurosci
ACS Chem. Biol.
ACS Comb Sci
ACS Infect Dis
ACS Med Chem Lett
ACS Nano
Acs Omega
Acta Crystallogr A Found Adv
Acta Crystallogr D Struct Biol
Acta Crystallogr F Struct Biol Commun
Acta Crystallogr. D Biol. Crystallogr.
Acta Neuropathol.
Adv. Synth. Catal.
Amino Acids
Anal. Biochem.
Anal. Chem.
Angew. Chem. Int. Ed. Engl.
Ann. N. Y. Acad. Sci.
Antibiotics (Basel)
Antimicrob. Agents Chemother.
Appl. Environ. Microbiol.
Appl. Microbiol. Biotechnol.
Arch. Virol.
Autophagy
BMC Biol.
Beilstein J Org Chem
BioRxiv
Biocatalysis
Biochem. Biophys. Res. Commun.
Biochem. J.
Biochem. Pharmacol.
Biochemistry
Biochim. Biophys. Acta
Biochimie
Biol Open
Biomicrofluidics
Biomolecules
Bioorg. Med. Chem.
Bioorg. Med. Chem. Lett.
Biophys. Chem.
Biophys. J.
Biosci. Rep.
Biotechnol Biofuels
Biotechnol. Bioeng.
Blood Adv
Blood Cancer J
Br. J. Pharmacol.
Cancer Discov
Carbohydr. Res.
Carbohydrate Polymers
Cell
Cell Chem Biol
Cell Death Dis
Cell Discov
Cell Host Microbe
Cell Metab.
Cell Rep
Cell Res.
Cell. Mol. Immunol.
Cell. Mol. Life Sci.
Channels (Austin)
Chem
Chem Sci
Chem. Biol. Interact.
Chem. Commun. (Camb.)
ChemCatChem
ChemMedChem
Chembiochem
Chemistry
Chempluschem
Cryst Growth Des
DNA Repair (Amst.)
Drug Metab. Dispos.
EBioMedicine
EMBO J.
EMBO Rep.
Elife
Environ Microbiol Rep
Enzyme Microb. Technol.
Eur J Med Chem
Eur. Biophys. J.
Eur. J. Org. Chem.
Extremophiles
FASEB J.
FEBS J.
FEBS Lett.
FEBS Open Bio
Faraday Discuss.
Fish Shellfish Immunol.
Front Cell Infect Microbiol
Front Microbiol
Front Mol Biosci
Front Mol Neurosci
Front Plant Sci
Genes Cells
Genes Dev.
Genome Biol Evol
Glycobiology
Hum. Mol. Genet.
IUBMB Life
IUCrJ
Immunity
Immunobiology
Insect Sci.
Int J Mol Sci
Int. J. Biol. Macromol.
J Appl Crystallogr
J Mol Cell Biol
J Pharm Sci
J Phys Chem B
J Phys Chem Lett
J Synchrotron Radiat
J. Agric. Food Chem.
J. Am. Chem. Soc.
J. Bacteriol.
J. Biochem.
J. Biol. Chem.
J. Biol. Inorg. Chem.
J. Biomol. NMR
J. Biomol. Struct. Dyn.
J. Cell Biol.
J. Cell. Biochem.
J. Clin. Invest.
J. Exp. Bot.
J. Exp. Med.
J. Immunol.
J. Infect. Dis.
J. Inorg. Biochem.
J. Med. Chem.
J. Microbiol.
J. Mol. Biol.
J. Mol. Cell. Cardiol.
J. Mol. Evol.
J. Org. Chem.
J. Pept. Sci.
J. Pharmacol. Exp. Ther.
J. Struct. Biol.
J. Thromb. Haemost.
J. Virol.
MAbs
MBio
Malar. J.
Matrix Biol.
Medchemcomm
Metallomics
Mol Ther Methods Clin Dev
Mol. Biol. Evol.
Mol. Cancer Ther.
Mol. Cell
Mol. Cell Proteomics
Mol. Cells
Mol. Genet. Metab.
Mol. Immunol.
Mol. Microbiol.
Mol. Pharmacol.
Molecules
NAT MICROBIOL
Nanoscale
Nat Chem
Nat Commun
Nat Microbiol
Nat Plants
Nat. Biotechnol.
Nat. Cell Biol.
Nat. Chem. Biol.
Nat. Immunol.
Nat. Med.
Nat. Methods
Nat. Struct. Mol. Biol.
Nature
Neuron
Nitric Oxide
Nucleic Acids Res.
Nucleosides Nucleotides Nucleic Acids
Oncogene
Oncoimmunology
Oncotarget
Open Biol
Org. Biomol. Chem.
Organometallics
Oxid Med Cell Longev
PLoS Genet.
PLoS ONE
PLoS Pathog.
Pharmaceuticals (Basel)
Philos. Trans. R. Soc. Lond.
Photochem. Photobiol.
Photosyn. Res.
Plant Cell
Plant Mol. Biol.
Plant Physiol.
Proc. Natl. Acad. Sci. U.S.A.
Protein Cell
Protein Eng. Des. Sel.
Protein Pept. Lett.
Protein Sci.
Proteins
Q. Rev. Biophys.
RNA
SCI IMMUNOL
Sci Adv
Sci Immunol
Sci Rep
Sci Signal
Sci Transl Med
Science
Structure
Synlett
THESIS
To be published
Toxicon
Toxins (Basel)
Virology
Viruses
bioRxiv
